,EGFR_IC50_weight,EGFR_dep_weight,combined_weight,scaled_combined_weight
FGFBP1,0.6494397280675424,0.010855719913044067,0.6602954479805864,1.869184330972875
ERBB3,-0.19119885745688658,-0.000843114166794225,-0.1920419716236808,-0.5325741975267536
PFKP,-0.06221274282194626,0.01666918578904333,-0.04554355703290293,-0.11976372064021977
SLC12A6,-0.13107662690877744,0.023539420211734476,-0.10753720669704298,-0.29445249221004777
PAPOLG,0.46067748217653437,0.011057824712922956,0.4717353068894573,1.337850241228254
TUBB2BP1,-0.09499917744303571,0.01745896362853524,-0.07754021381450046,-0.20992548233356104
TMEM105,0.29861259630465165,0.0019623363031567795,0.30057493260780843,0.855546074806695
PLOD3,-0.38835645329623647,0.0035855053815067365,-0.3847709479147297,-1.0756554372439355
SDR9C7,0.15784305161576673,0.012007001059494045,0.16985005267526077,0.48718304387129413
ZNF750,0.014905464361141776,-0.019876678211600274,-0.004971213850458497,-0.005436965744379899
CST6,0.22183495253210328,0.016672446039684534,0.23850739857178782,0.6806491082002469
CD151,0.760343537991262,0.014486673572699496,0.7748302115639615,2.191926051468708
HECA,0.15623797005226492,-0.016184003008953313,0.1400539670433116,0.403222160380264
RAET1L,-0.2845126116392556,-0.011727921607928746,-0.29624053324718436,-0.8261900570215029
CAPN1,-0.23380262913131433,0.004724586903552883,-0.22907804222776146,-0.6369362686848691
ARHGAP8,-0.34523550951943466,-0.00889072937903011,-0.3541262388984648,-0.9893032608166985
LINC01085,0.10309529035873014,0.013615662985645377,0.1167109533443755,0.33744506208234626
TMA16P2,-0.2840780840686832,0.005384937607446148,-0.27869314646123705,-0.7767441628290387
FLNA,0.31159005151076175,-0.006119312280448087,0.30547073923031365,0.8693417208020875
LINC01111,-0.20777584632760787,-0.0033820117661297264,-0.2111578580937376,-0.586439887690405
PKP3,-0.10725812656665507,-0.011632406594730655,-0.11889053316138572,-0.3264444569359846
DNAJB3,0.15868336348694914,0.007445269067486949,0.16612863255443608,0.4766966422329962
HS3ST1,-0.09033713096419166,0.002145723720833449,-0.08819140724335821,-0.23993894187207995
CTGF,0.11410301421326006,-0.016818290415522536,0.09728472379773753,0.2827048718512384
SDR16C5,-0.2791817666771016,-0.0038619819470449976,-0.2830437486241466,-0.7890035047381717
BTBD19,0.14383995674169503,-0.03146008665819716,0.11237987008349787,0.3252407215005559
SNX21,0.3135116535115231,0.0011239399380384256,0.31463559344956155,0.8951669002172472
KCNE4,-0.03807195202296316,0.0031040714088189135,-0.03496788061414424,-0.0899630566670257
RDH16,0.42008965918116925,0.003022309436120158,0.4231119686172894,1.2008369942520478
GRB7,0.3868780197316757,0.010594997663747812,0.3974730173954235,1.1285902896693807
ANKS3,-0.2308396203705846,-1.1417170886806119e-05,-0.2308510375414714,-0.6419323025533221
ANO1,0.3112034494938225,0.0005915015225977684,0.3117949510164203,0.8871623975011954
ARFGAP1,-0.2908687765044636,0.006659167477374384,-0.2842096090270892,-0.7922887238326325
TNNI2,0.4686623204856737,0.01022819322417632,0.47889051370985003,1.3580125368271447
UGT1A1,-2.5440385619471932,-0.021796257300500617,-2.565834819247694,-7.221565066095502
UPK3B,-0.1781268751519416,0.0016741069797832787,-0.1764527681721583,-0.48864616916494147
UPK2,0.15448446232610627,0.01734184827749045,0.1718263106035967,0.49275184118644616
GRHL3,-0.15515953118196796,-0.02395459329131478,-0.17911412447328273,-0.49614547055261204
TNFRSF21,-0.029070619031466738,0.015306294709707397,-0.013764324321759341,-0.03021462724408447
SCEL,0.3259976119968194,0.009285500559008716,0.33528311255582816,0.9533485005614621
TSPAN1,0.08115315398068347,0.0009968563578597353,0.0821500103385432,0.2400575278640472
EPHA1,-0.018498667974995636,0.007572858860322447,-0.01092580911467319,-0.022216118730800698
CD63,0.4204000323597598,-0.010744583234818049,0.4096554491249418,1.1629185482102526
TACSTD2,-0.833034320864168,0.011155927387265301,-0.8218783934769026,-2.3073584120318564
TC2N,-0.1780400728952877,-0.008523772033045001,-0.1865638449283327,-0.5171376612347502
FERMT1,-0.26836287048911633,-0.006379642392489766,-0.2747425128816061,-0.765611872172058
KRT8P41,-0.29621695835581513,0.003394491365471414,-0.2928224669903437,-0.8165584609017932
FRK,0.3067663948133733,0.01333962042914389,0.3201060152425172,0.9105817252542867
VCAM1,-0.07120955240166132,-0.005288125261169854,-0.07649767766283118,-0.20698777241264327
PARVA,0.16729684965664365,0.0010576170004702836,0.16835446665711393,0.48296870763359057
LAMB3,-0.6822036632499836,0.010550043545107904,-0.6716536197048757,-1.8840476159783275
RPL5,0.11705408876133842,-0.02780093936602284,0.08925314939531559,0.2600731043438909
TRIM31,0.09516570343374924,0.01019040411210259,0.10535610754585183,0.3054488161014243
RHOD,-0.32178282048108514,-0.019017689735618723,-0.3408005102167039,-0.9517533635884962
KPNA7,-0.08549249249986156,0.012372286463096469,-0.07312020603676508,-0.19747056585090858
KCNH1,-0.22674754592536112,0.00895522864607306,-0.21779231727928805,-0.6051347948532005
TMC4,0.06327883965834641,-0.005504686876487605,0.0577741527818588,0.17137003107029994
POLR1D,-0.31435299062815625,0.005022599703217881,-0.30933039092493836,-0.8630753052709447
ALS2CL,-0.08648149563733144,0.024586160402523687,-0.06189533523480775,-0.16584056984249151
UBBP4,0.07540396257844728,-0.011954414089681339,0.06344954848876594,0.18736244173790048
LINC00315,-0.20399191276905937,-0.002910817083513811,-0.2069027298525732,-0.5744495769190895
LIX1L,-0.08426836043368655,0.024414855610948354,-0.05985350482273819,-0.16008699914015764
CHMP4C,0.3946884102110234,0.0008232275598440363,0.39551163777086745,1.123063417174342
SOWAHB,-0.5089289698481481,-0.0015035029594931445,-0.5104324728076413,-1.4297506959689907
STYK1,0.1877244077416979,0.009941911752000598,0.1976663194936985,0.5655650960088413
AGPAT1,-0.5351883901191941,-0.015862366294986132,-0.5510507564141802,-1.5442069040635686
TMPRSS13,-0.07831096026981471,0.012217905270366165,-0.06609305499944855,-0.17766911216984635
CDH1,0.33530319427773003,-0.011415291858641917,0.3238879024190881,0.9212385139523234
STX2,-0.12719937564679668,0.009330618858634624,-0.11786875678816205,-0.3235652449453287
ANXA8,-0.1323581207401221,-0.002922805029940058,-0.13528092577006215,-0.37263011572311505
LSR,0.031550955769468036,0.012482969397189802,0.04403392516665784,0.13265213825074385
SYT8,-0.5591012732370133,-0.014723396795926096,-0.5738246700329394,-1.6083803640139298
DAB2,-0.28929755142971936,0.008272147324877951,-0.2810254041048414,-0.7833161137458315
FBXL18,-0.13034073148109954,-0.011919932701468136,-0.14226066418256766,-0.39229796776546094
CRB3,-0.42796806401145815,0.0072027510038717765,-0.42076531300758635,-1.1770821391008548
TXNDC15,-0.4794423823187137,0.008676903303349203,-0.47076547901536453,-1.317975079353712
PDE10A,-0.022159147591525062,-0.0010424220379282312,-0.023201569629453293,-0.056807363737832066
MPZL3,0.4660451608220076,-0.008950425456394347,0.45709473536561324,1.2965953148214946
DGKA,0.2659151958378817,-0.00853526056519471,0.257379935272687,0.733829075350876
EPS8L2,-0.23964042812459577,-0.0076624699332850975,-0.24730289805788086,-0.6882911686504113
OMP,0.35491471570885746,0.0037729666964347944,0.35868768240529225,1.0192990548242498
SCAMP3,-0.13584937350044543,0.011580450587895752,-0.12426892291254968,-0.341599949534738
MLPH,-0.1145512633622761,-0.01940156482185141,-0.13395282818412751,-0.3688877366718947
SHISA4,-0.007791793225249588,0.0014864779068214772,-0.006305315318428111,-0.009196262831286597
STK36,-0.20033537402468346,0.01028587184916806,-0.1900495021755154,-0.5269597185893768
HDLBP,-0.016896648469448626,0.0006989823896238288,-0.0161976660798248,-0.03707141797715055
UGT1A8,0.06661078976024545,0.00010196640689881,0.06671275616714427,0.19655766969756167
DMKN,0.399040080733539,0.022092519938695303,0.42113260067223435,1.1952594333779964
KRT8P14,0.16518533908397898,-0.0030564261996861553,0.16212891288429282,0.4654260343628942
CACNG8,-0.28082837839310426,-0.005876463579197135,-0.2867048419723014,-0.7993199146133202
HTR5BP,0.19480563682274987,-0.0042383059988597965,0.19056733082389007,0.5455612146946185
