Drug,Cell lines,Number of cell lines
ABIRATERONE,"A2780,A375,A549,AMO1,CAL51,CALU6,CAOV3,CL11,DBTRG05MG,EBC1,EFE184,EPLC272H,FU97,GAMG,HCC1143,HEC151,HEC50B,HEPG2,HEYA8,HSC4,HT1376,HT55,HUH6,HUPT4,IGROV1,IPC298,KALS1,KELLY,KM12,KMS11,KMS34,KNS60,KNS81,KYO1,KYSE410,KYSE70,L363,LCLC97TM1,LOUNH91,LOVO,LS123,LXF289,MC116,MCAS,MDAMB231,MDAMB435S,MDST8,MELJUSO,MKN74,MONOMAC1,MSTO211H,NB1,NCIH1355,NCIH1373,NCIH1573,NCIH1650,NCIH1666,NCIH1792,NCIH2023,NCIH2052,NCIH2122,NCIH2126,NCIH226,NCIH2452,NCIH446,NCIH460,NCIH520,NCIH661,NUGC3,OAW28,OVCAR8,OVK18,PATU8902,PC14,RCHACV,RI1,RKN,RKO,RMGI,RPMI8226,RT112,RT4,SCC25,SJSA1,SKM1,SKMEL30,SKMM2,SKOV3,SNGM,SNU398,SNU410,SNU761,SNU840,SNUC5,SUDHL10,SUDHL4,SUDHL8,SUPT1,SW1088,SW1116,SW1271,SW620,TCCPAN2,TE1,TE4,TE6,TE8,THP1,TUHR10TKB,TYKNU,U937,UMUC3,VMRCRCW,WM1799,WM793,YAPC,YD8,ZR751",118
ABT-751,"5637,A2780,A375,A549,AGS,AMO1,BL70,CAL12T,CALU6,CAOV3,CHAGOK1,CL40,COLO320,COLO678,CORL23,CORL279,COV318,COV362,COV434,COV644,DMS273,EFO21,EFO27,EJM,EPLC272H,FU97,G401,GAMG,HCC1359,HCC15,HCC33,HCC44,HCC827,HCT116,HEC151,HEC251,HEC265,HEC59,HEC6,HEPG2,HEYA8,HSC2,HT,HT1080,HT115,HT1376,HT29,HT55,HUPT4,IGROV1,JHH6,JHOC5,JHOM1,JHOS4,KE97,KLE,KM12,KMBC2,KMS11,KNS62,KP3,KU812,KYSE140,KYSE410,KYSE450,LCLC103H,LCLC97TM1,LN229,LOVO,LP1,LS123,LS180,LU65,LXF289,MC116,MCF7,MDST8,MFE319,MKN74,MSTO211H,NCIH1048,NCIH1299,NCIH1355,NCIH1437,NCIH1568,NCIH1573,NCIH1666,NCIH1694,NCIH1792,NCIH1836,NCIH1915,NCIH1944,NCIH1975,NCIH2009,NCIH2023,NCIH2030,NCIH2052,NCIH2110,NCIH2122,NCIH2126,NCIH2172,NCIH2286,NCIH23,NCIH28,NCIH441,NCIH460,NCIH650,NCIH661,NCIH727,NCIH82,NCIH841,NOMO1,OAW42,OCIAML3,OV7,OV90,OVCAR8,OVK18,OVMANA,PATU8902,RCC10RGB,RKN,RKO,RMGI,RMUGS,RPMI8226,RT4,SCC9,SF295,SH10TC,SHP77,SKM1,SKOV3,SNGM,SNU398,SNU449,SNU61,SNU81,SNU840,SNUC4,SNUC5,SUDHL4,SUDHL5,SUIT2,SW403,SW620,THP1,TYKNU,U2OS,U937,UMUC3,VMRCRCW",152
AFATINIB,"22RV1,2313287,253J,253JBV,42MGBA,5637,639V,647V,697,769P,786O,8305C,8505C,8MGBA,A172,A2058,A253,A2780,A375,A388,A427,A431,A549,A673,ABC1,ACCMESO1,AGS,AM38,AML193,AMO1,ASH3,ASPC1,AU565,BC3C,BCPAP,BECKER,BFTC905,BFTC909,BHT101,BHY,BICR16,BICR22,BICR31,BICR56,BICR6,BICR78,BL70,BPH1,BT12,BT16,BT549,BXPC3,C2BBE1,C33A,C4I,CA922,CADOES1,CAKI1,CAKI2,CAL120,CAL12T,CAL27,CAL29,CAL33,CAL51,CAL62,CAL72,CAL78,CALU1,CALU6,CAMA1,CAOV3,CAOV4,CAPAN1,CAS1,CASKI,CCFSTTG1,CCK81,CFPAC1,CHAGOK1,CHP134,CHP212,CL11,CMLT1,COLO201,COLO320,COLO678,COLO679,COLO680N,COLO684,COLO792,COLO800,COLO824,CORL105,CORL23,CORL279,CORL311,COV362,COV434,COV644,D283MED,DANG,DAOY,DB,DBTRG05MG,DEL,DETROIT562,DKMG,DMS273,DMS53,DOTC24510,DU4475,EBC1,ECGI10,EFE184,EFM19,EFO21,EFO27,EJM,EKVX,EM2,EN,EOL1,EPLC272H,ES2,ES2,ESO26,ESO51,ESS1,F36P,FADU,FARAGE,FLO1,FTC133,FU97,G292CLONEA141B1,G401,G402,GAMG,GB1,GCT,GI1,GIMEN,GP5D,GSS,GSU,H4,HCC1143,HCC1187,HCC1395,HCC1419,HCC1428,HCC15,HCC1806,HCC1937,HCC1954,HCC202,HCC33,HCC366,HCC38,HCC44,HCC56,HCC70,HCC78,HCC827,HCC95,HCT116,HCT15,HDMYZ,HEC1,HEC151,HEC1B,HEC251,HEC265,HEC50B,HEC59,HEC6,HEL,HEPG2,HEYA8,HGC27,HLF,HMC18,HMVII,HO1U1,HOP62,HPAFII,HS294T,HS578T,HS683,HS766T,HSC2,HSC3,HSC4,HT,HT1080,HT115,HT1197,HT1376,HT144,HT29,HT3,HT55,HUCCT1,HUG1N,HUH1,HUH7,HUO9,HUPT3,HUPT4,IALM,IGR1,IGR39,IGROV1,IHH4,IM95,IMR32,IPC298,ISTMES1,J82,JAR,JEG3,JHH1,JHH2,JHH4,JHH5,JHH6,JHH7,JHOC5,JHOM1,JHOS2,JHOS4,JHUEM1,JHUEM7,JIMT1,JJN3,JL1,JM1,JMSU1,JURKAT,JURLMK1,JVM2,JVM3,K029AX,K562,KALS1,KARPAS299,KARPAS422,KASUMI1,KATOIII,KCL22,KE37,KE39,KE97,KELLY,KLE,KM12,KMBC2,KMM1,KMRC1,KMRC2,KMRC20,KMRC3,KMS11,KMS26,KMS27,KNS42,KNS62,KNS81,KO52,KON,KOSC2,KP2,KP3,KP4,KPL1,KPNRTBM1,KPNSI9S,KPNYN,KU1919,KU812,KURAMOCHI,KYM1,KYSE140,KYSE150,KYSE180,KYSE270,KYSE30,KYSE410,KYSE450,KYSE510,KYSE520,KYSE70,L1236,L363,L428,LCLC103H,LCLC97TM1,LK2,LK2,LMSU,LN18,LN229,LNCAPCLONEFGC,LOUNH91,LOVO,LP1,LS1034,LS123,LS180,LS411N,LS513,LU134A,LU135,LU165,LU65,LUDLU1,LXF289,M059K,M07E,MC116,MCAS,MCF7,MDAMB157,MDAMB231,MDAMB361,MDAMB415,MDAMB435S,MDAMB436,MDAMB453,MDAMB468,MDST8,MEC1,MELHO,MELJUSO,MFE280,MFE296,MFE319,MFM223,MG63,MHHES1,MHHNB11,MIAPACA2,MKN45,MKN74,MOLM13,MORCPR,MPP89,MS751,MSTO211H,MV411,NALM6,NAMALWA,NB1,NB4,NCCIT,NCIH1048,NCIH1092,NCIH1155,NCIH1299,NCIH1355,NCIH1373,NCIH1437,NCIH1568,NCIH1573,NCIH1581,NCIH1648,NCIH1650,NCIH1666,NCIH1693,NCIH1694,NCIH1703,NCIH1792,NCIH1793,NCIH1836,NCIH1869,NCIH1915,NCIH1944,NCIH1975,NCIH2009,NCIH2023,NCIH2030,NCIH2052,NCIH2087,NCIH209,NCIH211,NCIH2110,NCIH2122,NCIH2126,NCIH2170,NCIH2171,NCIH2172,NCIH226,NCIH2286,NCIH2291,NCIH23,NCIH2452,NCIH28,NCIH292,NCIH3122,NCIH322,NCIH358,NCIH441,NCIH446,NCIH460,NCIH520,NCIH522,NCIH526,NCIH647,NCIH650,NCIH661,NCIH716,NCIH727,NCIH747,NCIH82,NCIH838,NCIH841,NCIN87,NH12,NH6,NMCG1,NOMO1,NUGC3,OAW28,OAW42,OC314,OCIAML2,OCIAML3,OCILY19,OCUM1,OE21,OE33,ONCODG1,ONS76,OPM2,OSC19,OSC20,OSRC2,OUMS23,OV7,OV90,OVCAR5,OVCAR8,OVISE,OVK18,OVTOKO,P30OHK,P31FUJ,PA1,PATU8902,PATU8988S,PATU8988T,PC14,PC3,PECAPJ15,PECAPJ49,PEER,PEO1,PF382,PFSK1,PK45H,PLCPRF5,PSN1,RAJI,RCC10RGB,RCHACV,RD,REH,RERFGC1B,RERFLCAD1,RERFLCAD2,RERFLCSQ1,RH30,RH41,RKN,RKO,RL,RL952,RMGI,RPMI7951,RPMI8226,RT112,RT4,RVH421,SAOS2,SAS,SCABER,SCC25,SCC3,SCC4,SCC9,SEM,SET2,SF126,SF268,SF295,SF539,SH10TC,SH4,SH4,SHP77,SIHA,SIMA,SISO,SJSA1,SKBR3,SKES1,SKGIIIA,SKGT2,SKGT4,SKHEP1,SKLMS1,SKM1,SKMEL2,SKMEL24,SKMEL30,SKMES1,SKMM2,SKN,SKNAS,SKNDZ,SKNFI,SKNMC,SKNSH,SKOV3,SKPNDW,SKUT1,SNB75,SNGM,SNU1,SNU1033,SNU1041,SNU1066,SNU1076,SNU1077,SNU1079,SNU1105,SNU1196,SNU16,SNU182,SNU201,SNU213,SNU216,SNU245,SNU308,SNU387,SNU398,SNU423,SNU449,SNU46,SNU475,SNU478,SNU5,SNU503,SNU601,SNU61,SNU626,SNU668,SNU685,SNU719,SNU738,SNU761,SNU8,SNU81,SNU840,SNU869,SNUC1,SNUC4,SNUC5,ST486,SUDHL1,SUDHL10,SUDHL4,SUDHL5,SUDHL8,SUIT2,SUPM2,SUPT1,SW1088,SW1116,SW1271,SW13,SW1463,SW156,SW1573,SW1990,SW48,SW579,SW620,SW626,SW756,SW837,SW954,SW982,T24,T47D,T84,T98G,TC71,TC71,TCCPAN2,TCCSUP,TE1,TE10,TE11,TE4,TE5,TE6,TE8,TE9,TF1,TGBC1TKB,TGW,THP1,TM31,TOV112D,TOV21G,TT2609C02,TTC709,TUHR14TKB,TUHR4TKB,TYKNU,U118MG,U251MG,U2OS,U937,UACC257,UACC62,UACC893,UBLC1,UMUC1,UMUC3,VAESBJ,VCAP,VMCUB1,VMRCRCW,WM115,WM1799,WM2664,WM793,WM88,WM983B,WSUNHL,YAPC,YD15,YD38,YH13,YKG1,ZR751",649
AFURESERTIB,"22RV1,2313287,42MGBA,5637,639V,647V,697,769P,786O,8305C,8505C,8MGBA,A172,A2058,A253,A2780,A375,A388,A427,A431,A549,A673,ABC1,AGS,AM38,AMO1,ASH3,ASPC1,AU565,BCPAP,BECKER,BFTC905,BFTC909,BHT101,BHY,BICR22,BICR31,BICR78,BPH1,BT549,BXPC3,C2BBE1,C33A,C4I,CA922,CADOES1,CAKI1,CAL120,CAL12T,CAL27,CAL29,CAL33,CAL51,CAL62,CAL72,CAL78,CALU6,CAMA1,CAOV3,CAOV4,CAPAN1,CAS1,CASKI,CCK81,CFPAC1,CHAGOK1,CHP134,CHP212,CL11,CMLT1,COLO678,COLO679,COLO680N,COLO684,COLO792,COLO800,COLO824,CORL105,CORL23,CORL279,CORL311,D283MED,DANG,DAOY,DB,DBTRG05MG,DEL,DETROIT562,DKMG,DMS273,DMS53,DOTC24510,DU4475,EBC1,ECGI10,EFM19,EFO21,EFO27,EJM,EKVX,EM2,EN,EOL1,EPLC272H,ES2,ESO26,ESO51,ESS1,FADU,FARAGE,FLO1,FTC133,FU97,G292CLONEA141B1,G401,G402,GAMG,GB1,GCT,GI1,GIMEN,GP5D,H4,HCC1143,HCC1187,HCC1395,HCC1419,HCC1428,HCC15,HCC1806,HCC1937,HCC1954,HCC33,HCC366,HCC38,HCC44,HCC70,HCC78,HCC827,HCT116,HCT15,HEC1,HEL,HGC27,HMVII,HO1U1,HOP62,HPAFII,HS578T,HS683,HS766T,HSC2,HSC3,HSC4,HT,HT1080,HT115,HT1197,HT1376,HT144,HT29,HT3,HT55,HUCCT1,HUH1,HUH7,HUO9,HUPT3,HUPT4,IALM,IGR1,IGROV1,IHH4,IM95,IPC298,ISTMES1,J82,JAR,JEG3,JHH1,JHH2,JHH4,JHH6,JHH7,JHOS2,JHOS4,JIMT1,JJN3,JM1,JURKAT,JVM2,JVM3,K562,KALS1,KARPAS299,KARPAS422,KASUMI1,KATOIII,KCL22,KE37,KELLY,KLE,KM12,KMRC1,KMRC20,KMS11,KNS42,KNS62,KON,KOSC2,KP2,KP3,KP4,KPNRTBM1,KPNYN,KU1919,KU812,KURAMOCHI,KYM1,KYSE140,KYSE150,KYSE180,KYSE270,KYSE410,KYSE450,KYSE510,KYSE520,KYSE70,L1236,L363,L428,LCLC103H,LCLC97TM1,LK2,LN18,LN229,LNCAPCLONEFGC,LOUNH91,LOVO,LP1,LS1034,LS123,LS180,LS411N,LU134A,LU135,LU165,LU65,LXF289,MC116,MCF7,MDAMB157,MDAMB231,MDAMB361,MDAMB415,MDAMB436,MDAMB453,MDAMB468,MDST8,MELHO,MELJUSO,MFE280,MFE296,MFE319,MFM223,MG63,MHHES1,MHHNB11,MIAPACA2,MKN45,MOLM13,MPP89,MS751,MSTO211H,MV411,NALM6,NAMALWA,NB1,NB4,NCCIT,NCIH1048,NCIH1092,NCIH1155,NCIH1299,NCIH1355,NCIH1437,NCIH1568,NCIH1573,NCIH1581,NCIH1648,NCIH1650,NCIH1666,NCIH1693,NCIH1694,NCIH1703,NCIH1792,NCIH1793,NCIH1836,NCIH1869,NCIH1915,NCIH1944,NCIH1975,NCIH2009,NCIH2023,NCIH2030,NCIH2052,NCIH2087,NCIH209,NCIH211,NCIH2110,NCIH2122,NCIH2170,NCIH2171,NCIH2172,NCIH226,NCIH2291,NCIH23,NCIH2452,NCIH28,NCIH292,NCIH3122,NCIH358,NCIH441,NCIH446,NCIH460,NCIH520,NCIH522,NCIH526,NCIH647,NCIH650,NCIH661,NCIH716,NCIH727,NCIH747,NCIH82,NCIH838,NCIH841,NCIN87,NH12,NMCG1,NOMO1,NUGC3,OAW28,OAW42,OC314,OCIAML2,OCIAML3,OCILY19,OCUM1,OE21,OE33,ONS76,OPM2,OSC19,OSC20,OSRC2,OV90,OVCAR5,OVCAR8,OVISE,OVK18,OVTOKO,P30OHK,P31FUJ,PA1,PATU8902,PATU8988T,PC14,PC3,PECAPJ15,PEO1,PF382,PFSK1,PSN1,RAJI,RCC10RGB,RCHACV,RD,REH,RERFGC1B,RERFLCSQ1,RH30,RH41,RKN,RKO,RL,RL952,RMGI,RPMI7951,RPMI8226,RT112,RT4,RVH421,SAOS2,SAS,SCC25,SCC3,SCC4,SCC9,SF126,SF268,SF295,SF539,SH4,SHP77,SIHA,SIMA,SISO,SJSA1,SKES1,SKGIIIA,SKGT2,SKGT4,SKHEP1,SKLMS1,SKM1,SKMEL2,SKMEL24,SKMEL30,SKMES1,SKMM2,SKN,SKNAS,SKNDZ,SKNFI,SKNSH,SKOV3,SKPNDW,SKUT1,SNB75,SNGM,SNU1,SNU16,SNU387,SNU398,SNU423,SNU449,SNU5,SNU61,SNU81,SNUC1,SNUC5,ST486,SUDHL1,SUDHL10,SUDHL4,SUDHL5,SUDHL8,SUIT2,SUPM2,SUPT1,SW1088,SW1116,SW1271,SW13,SW1463,SW156,SW1573,SW1990,SW48,SW620,SW626,SW756,SW837,SW954,SW982,T24,T47D,T84,T98G,TC71,TCCSUP,TE1,TE10,TE11,TE4,TE5,TE6,TE8,TE9,TGBC1TKB,TGW,THP1,TOV112D,TOV21G,TT2609C02,TYKNU,U118MG,U251MG,U2OS,UACC257,UACC62,UACC893,UMUC3,VAESBJ,VCAP,VMRCRCW,WM115,WM793,WSUNHL,YAPC,YH13,YKG1",503
ALECTINIB,"22RV1,2313287,42MGBA,5637,639V,647V,697,769P,786O,8305C,8505C,8MGBA,A172,A2058,A253,A2780,A375,A388,A427,A431,A549,A673,ABC1,AGS,AM38,AMO1,ASH3,ASPC1,AU565,BCPAP,BECKER,BFTC905,BFTC909,BHT101,BHY,BICR22,BICR31,BICR78,BPH1,BT549,BXPC3,C2BBE1,C33A,C4I,CA922,CADOES1,CAKI1,CAL120,CAL12T,CAL27,CAL29,CAL33,CAL51,CAL62,CAL72,CAL78,CALU6,CAMA1,CAOV3,CAOV4,CAPAN1,CAS1,CASKI,CCK81,CFPAC1,CHAGOK1,CHP134,CHP212,CL11,COLO678,COLO679,COLO680N,COLO684,COLO792,COLO800,COLO824,CORL105,CORL23,CORL311,D283MED,DANG,DAOY,DB,DBTRG05MG,DEL,DETROIT562,DKMG,DMS273,DMS53,DOTC24510,DU4475,EBC1,ECGI10,EFM19,EFO21,EFO27,EJM,EKVX,EM2,EN,EOL1,EPLC272H,ES2,ESO26,ESO51,ESS1,FADU,FARAGE,FLO1,FTC133,FU97,G292CLONEA141B1,G401,G402,GAMG,GB1,GCT,GI1,GIMEN,GP5D,H4,HCC1187,HCC1395,HCC1419,HCC1428,HCC15,HCC1806,HCC1937,HCC1954,HCC33,HCC38,HCC44,HCC70,HCC78,HCC827,HCT116,HCT15,HEC1,HEL,HGC27,HMVII,HO1U1,HOP62,HPAFII,HS578T,HS683,HS766T,HSC2,HSC3,HSC4,HT,HT1080,HT115,HT1197,HT1376,HT144,HT29,HT3,HT55,HUCCT1,HUH1,HUH7,HUO9,HUPT3,HUPT4,IALM,IGR1,IGROV1,IHH4,IM95,IPC298,ISTMES1,J82,JAR,JEG3,JHH1,JHH2,JHH4,JHH6,JHH7,JHOS2,JIMT1,JJN3,JM1,JURLMK1,JVM2,JVM3,K562,KALS1,KARPAS299,KARPAS422,KASUMI1,KCL22,KE37,KELLY,KLE,KM12,KMRC1,KMRC20,KMS11,KNS42,KON,KOSC2,KP2,KP3,KP4,KPNYN,KU1919,KU812,KURAMOCHI,KYM1,KYSE140,KYSE150,KYSE180,KYSE270,KYSE410,KYSE450,KYSE510,KYSE520,KYSE70,L1236,L363,L428,LCLC103H,LCLC97TM1,LK2,LN18,LN229,LNCAPCLONEFGC,LOUNH91,LOVO,LP1,LS1034,LS123,LS180,LS411N,LS513,LU134A,LU135,LU165,LU65,LXF289,MC116,MCF7,MDAMB157,MDAMB231,MDAMB361,MDAMB415,MDAMB436,MDAMB453,MDAMB468,MDST8,MELHO,MELJUSO,MFE280,MFE296,MFE319,MFM223,MG63,MHHES1,MHHNB11,MIAPACA2,MKN45,MOLM13,MPP89,MS751,MSTO211H,MV411,NALM6,NAMALWA,NB1,NB4,NCCIT,NCIH1048,NCIH1092,NCIH1155,NCIH1299,NCIH1355,NCIH1437,NCIH1568,NCIH1573,NCIH1581,NCIH1648,NCIH1650,NCIH1666,NCIH1693,NCIH1694,NCIH1703,NCIH1792,NCIH1793,NCIH1836,NCIH1869,NCIH1915,NCIH1944,NCIH1975,NCIH2009,NCIH2023,NCIH2030,NCIH2052,NCIH2087,NCIH209,NCIH211,NCIH2110,NCIH2122,NCIH2170,NCIH2171,NCIH2172,NCIH226,NCIH2291,NCIH23,NCIH2452,NCIH28,NCIH292,NCIH3122,NCIH358,NCIH441,NCIH446,NCIH460,NCIH520,NCIH522,NCIH526,NCIH647,NCIH650,NCIH661,NCIH716,NCIH727,NCIH747,NCIH82,NCIH838,NCIH841,NCIN87,NH12,NMCG1,NOMO1,NUGC3,OAW28,OAW42,OC314,OCIAML2,OCIAML3,OCILY19,OCUM1,OE21,OE33,ONS76,OPM2,OSC19,OSC20,OSRC2,OV90,OVCAR5,OVCAR8,OVISE,OVK18,OVTOKO,P30OHK,P31FUJ,PA1,PATU8902,PATU8988T,PC14,PC3,PECAPJ15,PEO1,PF382,PFSK1,PSN1,RAJI,RCC10RGB,RD,REH,RERFGC1B,RERFLCSQ1,RH30,RH41,RKN,RKO,RL,RL952,RMGI,RPMI7951,RPMI8226,RT112,RT4,RVH421,SAOS2,SAS,SCC25,SCC3,SCC4,SCC9,SF126,SF268,SF295,SF539,SH4,SHP77,SIHA,SIMA,SISO,SJSA1,SKES1,SKGIIIA,SKGT4,SKHEP1,SKLMS1,SKMEL2,SKMEL24,SKMEL30,SKMES1,SKMM2,SKN,SKNAS,SKNDZ,SKNFI,SKNSH,SKOV3,SKPNDW,SKUT1,SNB75,SNGM,SNU1,SNU16,SNU387,SNU398,SNU423,SNU449,SNU475,SNU5,SNU61,SNU81,SNUC1,SNUC5,ST486,SUDHL1,SUDHL10,SUDHL4,SUDHL5,SUDHL8,SUIT2,SUPM2,SUPT1,SW1088,SW1116,SW1271,SW13,SW1463,SW156,SW1573,SW1990,SW48,SW620,SW626,SW756,SW837,SW954,SW982,T24,T47D,T84,T98G,TC71,TCCSUP,TE1,TE10,TE11,TE4,TE5,TE6,TE8,TE9,TGBC1TKB,TGW,THP1,TOV112D,TOV21G,TT2609C02,TYKNU,U118MG,U251MG,U2OS,UACC257,UACC62,UACC893,UMUC3,VAESBJ,VCAP,VMRCRCW,WM115,WM793,WSUNHL,YAPC,YH13,YKG1",494
ALISERTIB,"22RV1,2313287,253J,253JBV,42MGBA,5637,639V,647V,697,769P,786O,8305C,8505C,8MGBA,A172,A2058,A253,A2780,A375,A388,A427,A431,A549,A673,ABC1,ACCMESO1,AGS,AM38,AML193,AMO1,ASH3,ASPC1,AU565,BC3C,BCPAP,BECKER,BFTC905,BFTC909,BHT101,BHY,BICR16,BICR22,BICR31,BICR56,BICR6,BICR78,BL70,BPH1,BT12,BT16,BT549,BXPC3,C2BBE1,C33A,C4I,CA922,CADOES1,CAKI1,CAKI2,CAL120,CAL12T,CAL27,CAL29,CAL33,CAL51,CAL62,CAL72,CAL78,CALU1,CALU6,CAMA1,CAOV3,CAOV4,CAPAN1,CAS1,CASKI,CCFSTTG1,CCK81,CFPAC1,CHAGOK1,CHP134,CHP212,CL11,CMLT1,COLO201,COLO320,COLO678,COLO679,COLO680N,COLO684,COLO792,COLO800,COLO824,CORL105,CORL23,CORL279,CORL311,CORL47,COV362,COV434,COV644,D283MED,DANG,DAOY,DB,DBTRG05MG,DEL,DETROIT562,DKMG,DLD1,DMS273,DMS53,DOTC24510,DU4475,EBC1,ECGI10,EFE184,EFM19,EFO21,EFO27,EJM,EKVX,EM2,EN,EOL1,EPLC272H,ES2,ES2,ESO26,ESO51,ESS1,F36P,FADU,FARAGE,FLO1,FTC133,FU97,G292CLONEA141B1,G401,G402,GAMG,GB1,GCT,GI1,GIMEN,GP5D,GSS,GSU,H4,HCC1143,HCC1187,HCC1395,HCC1419,HCC1428,HCC15,HCC1806,HCC1937,HCC1954,HCC202,HCC33,HCC366,HCC38,HCC44,HCC56,HCC70,HCC78,HCC827,HCC95,HCT116,HCT15,HDMYZ,HEC1,HEC151,HEC1B,HEC251,HEC265,HEC50B,HEC59,HEC6,HEL,HEPG2,HEYA8,HGC27,HLF,HMC18,HMVII,HO1U1,HOP62,HPAFII,HS294T,HS578T,HS683,HS766T,HSC2,HSC3,HSC4,HT,HT1080,HT115,HT1197,HT1376,HT144,HT29,HT3,HT55,HUCCT1,HUG1N,HUH1,HUH6,HUH7,HUNS1,HUO9,HUPT3,HUPT4,IALM,IGR1,IGR39,IGROV1,IHH4,IM95,IMR32,IPC298,ISTMES1,J82,JAR,JEG3,JHH1,JHH2,JHH4,JHH5,JHH6,JHH7,JHOC5,JHOM1,JHOS2,JHOS4,JHUEM1,JHUEM7,JIMT1,JJN3,JL1,JM1,JMSU1,JURKAT,JURLMK1,JVM2,JVM3,K029AX,K562,KALS1,KARPAS299,KARPAS422,KASUMI1,KATOIII,KCL22,KE37,KE39,KE97,KELLY,KIJK,KLE,KM12,KMBC2,KMM1,KMRC1,KMRC2,KMRC20,KMRC3,KMS11,KMS26,KMS27,KNS42,KNS60,KNS62,KNS81,KO52,KON,KOSC2,KP2,KP3,KP4,KPL1,KPNRTBM1,KPNSI9S,KPNYN,KU1919,KU812,KURAMOCHI,KYM1,KYO1,KYSE140,KYSE150,KYSE180,KYSE270,KYSE30,KYSE410,KYSE450,KYSE510,KYSE520,KYSE70,L1236,L363,L428,LCLC103H,LCLC97TM1,LI7,LK2,LK2,LMSU,LN18,LN229,LNCAPCLONEFGC,LOUNH91,LOVO,LP1,LS1034,LS123,LS180,LS411N,LS513,LU134A,LU135,LU165,LU65,LU99,LUDLU1,LXF289,M059K,M07E,MC116,MCAS,MCF7,MDAMB157,MDAMB231,MDAMB361,MDAMB415,MDAMB435S,MDAMB436,MDAMB453,MDAMB468,MDST8,MEC1,MELHO,MELJUSO,MFE280,MFE296,MFE319,MFM223,MG63,MHHES1,MHHNB11,MIAPACA2,MJ,MKN45,MKN74,MOLM13,MONOMAC1,MORCPR,MPP89,MS751,MSTO211H,MV411,NALM6,NAMALWA,NB1,NB4,NCCIT,NCIH1048,NCIH1092,NCIH1155,NCIH1299,NCIH1355,NCIH1373,NCIH1437,NCIH1568,NCIH1573,NCIH1581,NCIH1648,NCIH1650,NCIH1666,NCIH1693,NCIH1694,NCIH1703,NCIH1792,NCIH1793,NCIH1836,NCIH1869,NCIH1915,NCIH1944,NCIH1975,NCIH2009,NCIH2023,NCIH2030,NCIH2052,NCIH2087,NCIH209,NCIH211,NCIH2110,NCIH2122,NCIH2126,NCIH2170,NCIH2171,NCIH2172,NCIH226,NCIH2286,NCIH2291,NCIH23,NCIH2452,NCIH28,NCIH292,NCIH3122,NCIH322,NCIH358,NCIH441,NCIH446,NCIH460,NCIH520,NCIH522,NCIH526,NCIH647,NCIH650,NCIH661,NCIH716,NCIH727,NCIH747,NCIH82,NCIH838,NCIH841,NCIN87,NCO2,NH12,NH6,NMCG1,NOMO1,NUGC3,OAW28,OAW42,OC314,OCIAML2,OCIAML3,OCILY19,OCUM1,OE21,OE33,ONCODG1,ONS76,OPM2,OSC19,OSC20,OSRC2,OUMS23,OV7,OV90,OVCAR5,OVCAR8,OVISE,OVK18,OVTOKO,P30OHK,P31FUJ,PA1,PATU8902,PATU8988S,PATU8988T,PC14,PC3,PECAPJ15,PECAPJ49,PEER,PEO1,PF382,PFSK1,PK45H,PLCPRF5,PSN1,RAJI,RCC10RGB,RCHACV,RD,REH,RERFGC1B,RERFLCAD1,RERFLCAD2,RERFLCSQ1,RH30,RH41,RI1,RKN,RKO,RL,RL952,RMGI,RPMI7951,RPMI8226,RT112,RT4,RVH421,SAOS2,SAS,SCABER,SCC25,SCC3,SCC4,SCC9,SEM,SET2,SF126,SF268,SF295,SF539,SH10TC,SH4,SH4,SHP77,SIHA,SIMA,SISO,SJSA1,SKBR3,SKES1,SKGIIIA,SKGT2,SKGT4,SKHEP1,SKLMS1,SKM1,SKMEL2,SKMEL24,SKMEL30,SKMES1,SKMM2,SKN,SKNAS,SKNDZ,SKNFI,SKNMC,SKNSH,SKOV3,SKPNDW,SKUT1,SNB75,SNGM,SNU1,SNU1033,SNU1041,SNU1066,SNU1076,SNU1077,SNU1079,SNU1105,SNU1196,SNU16,SNU182,SNU201,SNU213,SNU216,SNU308,SNU387,SNU398,SNU410,SNU423,SNU449,SNU46,SNU475,SNU478,SNU5,SNU503,SNU601,SNU61,SNU620,SNU626,SNU668,SNU685,SNU719,SNU738,SNU761,SNU8,SNU81,SNU840,SNU869,SNU886,SNUC1,SNUC4,SNUC5,ST486,SUDHL1,SUDHL10,SUDHL4,SUDHL5,SUDHL8,SUIT2,SUPM2,SUPT1,SW1088,SW1116,SW1271,SW13,SW1463,SW156,SW1573,SW1990,SW48,SW579,SW620,SW626,SW756,SW837,SW954,SW982,T24,T47D,T84,T98G,TC71,TC71,TCCPAN2,TCCSUP,TE1,TE10,TE11,TE4,TE5,TE6,TE8,TE8,TE9,TF1,TGBC1TKB,TGW,THP1,TM31,TOV112D,TOV21G,TT2609C02,TTC709,TUHR10TKB,TUHR14TKB,TUHR4TKB,TYKNU,U118MG,U251MG,U2OS,U937,UACC257,UACC62,UACC893,UBLC1,UMUC1,UMUC3,VAESBJ,VCAP,VMCUB1,VMRCRCW,WM115,WM1799,WM2664,WM793,WM88,WM983B,WSUNHL,YAPC,YD38,YD8,YH13,YKG1,ZR751",666
