Drug,HCG_list,HCG_count
ABIRATERONE,"ABCG4,ABHD10,ABLIM3,ACO2,ACOT4,ACSBG1,ACSL1,ACSS1,ACTL10,ACTR3C,ADA,ADAM11,ADAM28,ADAMTS14,ADAMTS7P4,ADIPOR1P2,AFG3L2,ALCAM,ANKDD1B,ANP32A,ANP32AP1,ANP32E,AOX1,AQP2,AR,ARHGAP19,ARHGAP30,ARID3B,ARL4C,ARPP21,ARSJ,ASPH,ASS1P5,ATP10B,ATP5F1A,ATP5F1B,ATP5MC3,ATP6V0C,AURKB,B3GALT4,B3GNT9,BAIAP3,BATF,BRI3,C1QBP,C1QL1,C1QTNF2,CACNA2D3,CALB2,CALM2P3,CALM2P4,CAMK2N1,CAPN12,CAPRIN2,CARD16,CASC8,CASP1,CBFA2T3,CBR3,CCDC146,CCDC149,CCDC159,CCDC61,CCDC78,CCDC80,CCDC9B,CCL28,CCR7,CD6,CD86,CD96,CDC37L1,CDIPT,CELA2A,CERS1,CFAP410,CFL1P2,CFL2,CHD1,CHMP2A,CIR1P2,CKM,CLEC10A,CLPX,CLUH,CLVS1,CNGA4,COL6A1,COL6A2,COQ3,COX10,COX7BP2,CREB3,CRYBG1,CS,CTBP2P8,CTF1,CTSD,CTSS,CTSZ,CUX2,CYB5R2,CYCS,CYP17A1,CYP2A7,CYP2F2P,DAB2,DAZAP1,DCAF15,DDX21,DDX31,DENND2D,DERL3,DHRS4L2,DHX33,DIRAS3,DNA2,DNAH5,DNAJA4,DONSON,DPYSL5,DUSP1,DUSP10,EFNB3,EIF2S3B,EIF3LP2,EIF4B,ELFN2,ELP2,EML2,EPSTI1,EVA1A,EVA1B,F8A3,FAM201B,FAM207A,FAM210A,FAM219A,FAM229B,FAM27E3,FAM49B,FAM72A,FAM72B,FAM72D,FANCF,FARP2,FASTK,FBXL8,FBXO41,FCHO1,FGF8,FLYWCH1,FNDC4,FOXB1,FOXO3B,FSD1,FTH1P11,FTH1P2,FTH1P23,FTH1P4,FTH1P7,FTH1P8,FUNDC2P2,FXN,FZD1,GALNT3,GCFC2,GCKR,GDF1,GFRAL,GFY,GGT7,GGTLC1,GLIS1,GNPTG,GOLGA1,GOLGA4,GPR1,GPR39,GPX3,GSAP,GUF1,GUK1,H2AFZ,HASPIN,HCFC1R1,HEIH,HIC2,HIGD1AP17,HMGN2P27,HNRNPA1P10,HNRNPA1P43,HNRNPA1P45,HNRNPA1P7,HNRNPCP2,HPCAL1,HRCT1,HSFX2,HSFY1P1,HSP90B3P,HSPA9,HSPD1,HSPE1P26,HTATIP2,IAPP,IDH3A,IDSP1,IER5L,IFNAR2,IGSF8,IKZF5,IL12RB1,IL16,IL2RG,IMMT,INSL4,IQCB1,IRX5,ITGA1,JUN,KCNH4,KCNK3,KIAA0040,KIAA0408,KIFC3,KLK9,KREMEN2,KRT18P37,KRT18P9,LCE6A,LCN10,LGALS9,LILRA1,LIMK2,LIN28B,LINC00847,LINC00893,LINC00973,LINC01085,LINC01111,LINC01117,LINC01531,LINC01833,LINC02218,LINS1,LIPI,LMF2,LRRC28,LRRC37A5P,LTBP3,LTK,LY75,LYAR,LYNX1,LYPD1,MAP10,MAP1LC3C,MAP6,MARS2,MCMBP,ME2,MED15P9,MEF2C,MEGF6,METTL8,MGAM,MIR3142HG,MIR600HG,MIR6745,MLPH,MND1,MRPL35,MRPL4,MS4A13,MTFMT,MTO1,MX1,MX2,MYBBP1A,MYBPC2,MYD88,MYF6,MYH10,MYL6P5,NAPA,NARS,NAT8L,NCK2,NCR3LG1,NDUFA5P11,NDUFAF4,NDUFS1,NIFKP6,NIPAL2,NKG7,NLRP6,NMNAT2,NOLC1,NOP56,NR4A3,NTM,NTN4,NUP88,NUPR1,NXNL2,OAS2,OR14J1,OR2I1P,OR6P1,OSTF1,P2RY12,P4HA3,PABPN1L,PAICS,PARP1,PCCB,PCDHB10,PCDHB19P,PCDHB7,PCED1B,PDE7B,PDHA2,PELP1,PFAS,PFKL,PFKM,PHLDA2,PINX1,PLCG2,PLEKHF2,PLSCR4,PNPT1,POLR3G,POLR3K,POMP,POU5F1,PPAN,PPARGC1B,PPAT,PPDPF,PPIAP29,PRICKLE2,PRMT3,PRPSAP2,PRTG,PSMA2P3,PSMC1P10,PSORS1C1,PTCRA,PXDC1,PYCARD,RAB28P5,RAB39B,RAB4B,RABGGTB,RANP4,RASGEF1B,RASGRP2,RBM38,RHEBP1,RHOB,RIPK3,RN7SL521P,RNA5SP21,RNF113B,RNF2P1,RPIA,RPL12P21,RPL15P1,RPL21P12,RPL26P19,RPL29P11,RPL3,RPL5P35,RPL6,RPL7A,RPL7AP7,RPL7AP8,RPL7P7,RPS24P16,RTL8C,RTP4,RUSC2,RYR2,SAMSN1,SCARB2,SDHB,SEC11C,SEPT6,SEPT7P6,SETP4,SFXN4,SH2D3C,SHB,SHISA4,SIGLEC10,SIMC1,SIX2,SLAMF6,SLC25A15,SLC25A5,SLC2A4RG,SLC2A9,SLC35C2,SLC38A2,SLC4A2,SLC7A5P1,SLCO1B1,SLCO1B7,SLCO1C1,SMAD7,SMPD1,SNHG4,SNORD91B,SNRPA,SNRPE,SOD3,SORCS2,SPAG8,SPIB,SRD5A1,SRD5A2,SRD5A3,STAC,STAT5A,SUCLA2P1,SUSD6,SYK,SYTL3,TAF5,TATDN1,TELO2,TFB1M,TFPT,TGFBI,TGFBRAP1,TIMM21,TIMM44,TIPIN,TLE7,TLNRD1,TM4SF1,TMCO4,TMEM106A,TMEM132E,TMEM154,TMEM234,TMEM33,TMPRSS3,TNFAIP3,TNFRSF14,TNFRSF1B,TNFSF10,TOP1MT,TPRG1L,TRAF3IP2,TRAP1,TRAV40,TREH,TRGV5,TRIM51HP,TRIM75P,TRIM9,TRPM2,TSIX,TSR3,TTYH2,TXNL4A,TYRL,UBD,UBE2W,UCHL5,UMODL1,UNKL,VASN,VILL,VKORC1,VN1R1,VPS28,VSTM2L,WASF1,WBP2NL,WDR12,WDR18,WDR4,WDR43,WFDC21P,WFS1,WIPF1,XIST,XPO4,YDJC,ZBTB24,ZFP36,ZNF157,ZNF280B,ZNF286A,ZNF286B,ZNF519,ZNF772,ZNRF2",501
ABT-751,"ABALON,ABLIM3,ACOT12,ACR,ACTBP13,ACVR1,ADAMTSL5,ADAP1,ADAT2,ADGRD2,ADGRG2,ADORA2B,AFAP1L1,AFF3,AFG3L2,AGBL2,AGR2,ALCAM,ALDH3B1,ALG1L10P,ALOX15,ALS2CL,ANKRD1,ANKRD22,ANKRD42,ANKRD44,ANO1,ANXA1,ANXA2,ANXA3,ANXA6,AOX1,AP1M2,APLN,APLP2,APOA2,AQP10,AREG,ARF1P2,ARHGAP23,ARHGAP8,ARHGEF16,ARHGEF28,ARHGEF35,ARHGEF6,ARIH2,ARL14,ARMCX4,ARSJ,ATP2C2,ATP6V1D,ATP6V1G2,AXL,B3GALT4,B3GNT3,BACE1,BATF2,BCAR3,BDNF,BEST3,BLID,BNC1,BTBD10,C1QC,C3,CALU,CAMSAP3,CAPN1,CARTPT,CASC19,CASC8,CATSPER1,CATSPER4,CATSPERB,CATSPERZ,CBLC,CCBE1,CCDC28B,CCDC80,CCDC92,CCDC96,CCDC9B,CCL20,CD177,CDC42BPG,CDCP1,CDH1,CDH19,CDH2,CDH3,CDK14,CDK5R2,CDYL,CEBPB,CEP164P1,CETN2,CFAP300,CGN,CHMP4C,CHMP7,CHTOP,CICP27,CIDEB,CKAP4,CKLF,CKMT1A,CKMT1B,CLCF1,CLCN5,CLDN1,CLDN16,CLDN17,CLDN4,CLDN7,CLDND2,CLEC14A,CLIC4,CLVS1,CNGA1,CNKSR1,CNOT9,COL17A1,COL1A1,COL3A1,COPZ2,CORO2A,COX6B2,CPA4,CRB3,CRIM1,CRYBG2,CSMD3,CTAGE9,CTDP1,CTSH,CTSV,CUEDC1,CUL4B,CXXC1,CYP1A1,CYP24A1,CYP2D6,CYP2S1,CYR61,CYSRT1,DBNDD2,DCAF12,DCBLD2,DDR1,DDX6P1,DEFB121,DKK3,DLC1,DLG3,DMKN,DNAH3,DOCK2,DOCK6,DOK3,DOT1L,DQX1,DSG2,DSP,DUOXA2,DUSP1,DYNC2H1,EDA2R,EFEMP1,EFEMP2,EHF,EIF1AD,EIF3K,ELF3,EML6,EMP3,ENTPD2,ENTPD8,EPB41L4B,EPCAM,EPGN,EPHA1,EPHA10,EPN3,EPPK1,EPS8L2,ESPN,ESRP1,ESRP2,ETS2,EVPL,EXO1,F11R,FA2H,FABP1,FADS3,FAM114A1,FAM157A,FAM201B,FAM25A,FAM27B,FAM47B,FAM83B,FAM83E,FAM83F,FAM83H,FANCE,FDXACB1,FEM1A,FERMT1,FFAR4,FGD6,FGFBP1,FILIP1L,FLG,FN1,FOSL1,FRK,FRMD5,FRMD6,FSCB,FSIP1,FSTL1,FTLP14,FUT1,FUT2,FXYD1,FYB1,GACAT2,GADD45B,GAL3ST3,GALNT12,GALNT3,GBE1,GCN1,GJB3,GJB4,GLS2,GLTP,GMEB1,GNG12,GNS,GPR176,GPR87,GPR89A,GPRC5A,GPX2,GPX8,GRAMD2A,GRB7,GRHL1,GRHL2,GRIN2D,GRIN3B,GRK6,GRK6P1,GRPEL2P2,GRTP1,GSDMC,GSTT2,GSTT2B,GTF2F2,GYPC,H2AFZ,H3F3BP1,HAP1,HBEGF,HCAR2,HCAR3,HDAC4,HERC6,HES1,HES2,HID1,HIST2H4B,HIST3H3,HIVEP2,HMGN1P3,HMGN2,HMGN2P15,HMSD,HNRNPAB,HNRNPL,HRNR,HSD11B2,HSD52,HTD2,HTN1,HTRA1,ICA1,IER3,IFI6,IGFBP6,IKZF3,IL11,IL18,IL20RA,IL33,IL4R,IL6ST,INAVA,INTS12,IQANK1,IRF6,IRX3,ITGA1,ITGA3,ITGA6,ITGAE,ITGB1,ITGB4,ITGB6,ITIH1,ITIH4,ITIH6,ITPRID2,IZUMO1R,JADE2,JAG2,KCNA7,KCNJ18,KCNK1,KCNK4,KCNMB3,KCTD11,KDF1,KIAA1586,KIAA1755,KIF21B,KIFC3,KLC3,KLF3,KLF4,KLF5,KPNA7,KRT15,KRT18,KRT18P1,KRT18P16,KRT33A,KRT8,KRT80,KRT81,KRT86,KRT8P3,KRTCAP3,KRTDAP,LAD1,LAMA3,LAMB3,LAMC2,LAMP3,LAMP5,LARGE2,LARP1,LCN2,LDLRAP1,LHX1,LINC00092,LINC00112,LINC00313,LINC00452,LINC00857,LINC00880,LINC00941,LINC00964,LINC00974,LINC01081,LINC01085,LINC01119,LINC01123,LINC01137,LINC01460,LINC01526,LINC01714,LINC02535,LINC02551,LIPM,LLGL2,LONP1,LOX,LOXL1,LOXL2,LPAR1,LPAR4,LRFN1,LRIT2,LRRC49,LRWD1,LSR,LTBP3,LTBP4,LTBR,LUCAT1,LYPD3,LYPD5,MAB21L4,MAFK,MAGED1,MAL2,MALL,MAMDC2,MAP3K9,MAP7,MARS2,MARVELD2,MARVELD3,MAST4,MBD1,MCM3AP,MED27,MEP1A,METTL4,MEX3B,MICAL2,MICC,MIR106B,MIR181A1HG,MIR205,MIR22HG,MIR339,MIR4640,MIR4665,MISP,MLXIPL,MMP1,MMP10,MOB3A,MOB3B,MPL,MPP7,MPZL2,MRGPRX3,MROH6,MRPL35,MRPL49,MRPS36P2,MRRF,MSRB3,MST1R,MTCL1,MTCO1P40,MUC2,MUSTN1,MXRA7,MYEOV,MYH16,MYL6,MYO5B,MYRIP,NALCN,NARS,NBEAL2,NCEH1,NDFIP2,NDST1,NDUFA5,NDUFB5P1,NDUFB6,NDUFB9P1,NDUFS7,NEK4,NEXN,NF1P8,NGEF,NIPAL1,NKILA,NNMT,NOC2L,NOL6,NOL9,NOP9,NOXA1,NPAS4,NR3C1,NRARP,NRG1,NRP1,NT5DC2,NTN5,NUAK1,NUCB2,NUPR1,OCLN,OR11H4,OR1L8,OR2A7,OR4K5,OR56A4,OR7E91P,OR8S1,ORM1,OSMR,OVOL1,OVOL2,OXCT1,P2RY2,P3H1,P4HA2,PACS1,PAFAH1B2,PAK6,PALLD,PANX1,PARVA,PAX9,PBLD,PCDH1,PCDHB19P,PCDHGB4,PDCD2L,PDCL3P3,PDE7B,PDXP,PEAR1,PERM1,PERP,PFN4,PGBD1,PGRMC2,PHEX,PHLDA1,PICART1,PID1,PIEZO1,PKP3,PLA2G4F,PLAA,PLAT,PLCB2,PLCL2,PLCXD2,PLEK2,PLEKHG3,PLEKHG6,PLEKHN1,PLEKHO2,PLK2,PLOD2,PLSCR1,PMEPA1,PPARGC1B,PPFIA1,PPL,PPM1J,PPP1R13B,PPP1R3C,PPP2R3A,PPP4R1,PPP4R4,PPP6R1,PRDM15,PRF1,PRKAA2,PRKAG2,PRKCH,PROSER1,PRR15L,PRR16,PRR3,PRRG1,PRRG4,PRSS22,PRSS8,PTAFR,PTBP3,PTCSC2,PTDSS1,PTHLH,PTK6,PTPN3,PTTG1IP,QKI,RAB19,RAB25,RAB38,RAB41,RAB6D,RAD51AP2,RAG1,RASSF8,RBBP8NL,RBM47,RBM7,RCL1,RGS13,RGS16,RHCE,RHEBP1,RHOD,RHOV,RIPOR1,RN7SL743P,RNASE8,RND3,RNF123,RNF149,RNF182,RNF19B,RNU12,RPL14P1,RPL21P41,RPL23AP42,RPL5P7,RPL6P9,RPL7AP60,RPP14,RPS27L,RPS3AP14,RPS4XP4,RPS6KA6,RPSAP52,RRP1,RRP1B,RTBDN,RTL8C,RTTN,RUSC2,S100A11,S100A14,S100A2,SAA2,SAP25,SCEL,SCHIP1,SCHLAP1,SCLY,SCNN1A,SDC4,SEMA4B,SEMG2,SEPT1,SERPINA1,SERPINA10,SERPINB5,SERPINB7,SERPINB8,SERPINE1,SFN,SFTA1P,SFXN1,SGCE,SH2D3A,SH2D5,SH3RF2,SKA1,SLC16A10,SLC16A5,SLC22A4,SLC25A27,SLC25A51,SLC29A2,SLC2A2,SLC31A2,SLC34A1,SLC35D3,SLC44A2,SLC52A3,SLC5A5,SLC9A7P1,SMAD3,SMAP2,SMCP,SMIM22,SNAPC1,SNED1,SNHG15,SNORA49,SNX18P2,SNX18P8,SNX31,SOWAHB,SOWAHC,SP6,SPATA2P1,SPINT1,SPINT2,SPOCK1,SPP2,SPRR1A,SPTLC1,SRGAP1,SRGAP2B,SRPK1,SRRM1P2,SRSF10P1,SRSF9P1,SSH3,SSPN,ST14,STAC,STARD10,STARD9,STX19,STX3,STYK1,SYCN,SYF2P2,SYT11,SYT8,TACSTD2,TBC1D2,TBPL2,TC2N,TCF3,TCF4,TCIM,TEAD1,TFCP2L1,TGFA,TGFB2,TGFBI,THBS1,TIFA,TIMM21,TIMP2,TLL2,TMBIM1,TMC4,TMC6,TMED7,TMEM105,TMEM125,TMEM159,TMEM268,TMEM30B,TMEM40,TMEM45A,TMEM45B,TMEM61,TMEM95,TMPRSS11E,TMPRSS4,TMPRSS7,TMX2P1,TNFAIP8L2,TNK1,TNNI3,TNRC18P3,TNS4,TOR4A,TPM1,TRAF3,TRAP1,TRAPPC10,TRDJ1,TRGV2,TRIM35,TRIM6,TRIP10,TRMT112P3,TSPAN1,TSPAN2,TTTY12,TUBB,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B,TUBB8P1,TUFT1,TULP2,TXNL1,UBA52P7,UBE2G2,UBE2V1P1,UBQLNL,UGCG,UPK2,URB1,VASN,VEGFC,VIM,VMO1,VPREB3,VPS72,VWA1,WBP1LP2,WDR4,WDR64,WDR66,WDR7,WFDC5,WIPF1,WNT8B,XDH,YAP1,YARS,YBX3,YIPF5,ZBED2,ZBTB45P1,ZBTB45P2,ZEB2,ZFP69B,ZNF185,ZNF22,ZNF319,ZNF407,ZNF488,ZNF502,ZNF602P,ZNF846",807
AFATINIB,"AATBC,ACE2,ADAMTS15,ADCY4,ADGRF1,ADGRF4,AHDC1,ALS2CL,AMOTL2,ANLN,ANO1,ANXA3,ANXA5,AP1M2,AP2S1,APCDD1L,ARAP2,AREG,ARHGAP23,ARHGAP8,ARHGEF10,ARHGEF17,ARHGEF34P,ARHGEF5,ARL14,ATP8A1,B3GLCT,B3GNT3,B3GNT8,B3GNT9,BAD,BARX2,BCAR1,BCL11A,BTD,C1QTNF2,CACNA1F,CALML3,CASZ1,CAVIN1,CCDC162P,CCDC80,CDH1,CDH3,CDS1,CENPB,CENPN,CEP295NL,CEP89,CFAP300,CFL2,CHMP4C,CHST14,CITED2,CLDN1,CLDN4,CLDN7,CLIC4P1,CLTRN,CLUHP6,COL12A1,COL17A1,COL18A1,COL6A1,COL6A2,COL7A1,CPLANE1,CRB3,CRIP2,CRYBG2,CSRP1,CTGF,CTNNAL1,CYP2S1,CYR61,CYTH3,DAPP1,DDR1,DENND1C,DGKH,DIO2,DKK3,DMKN,DSC2,DSG2,DSG4,DSP,DSTNP1,DYNC2H1,ECE1,EDIL3,EFNA1,EGFR,EHF,ELF3,ENPP1,EPHA1,EPN3,EPPK1,EPS8L2,ERBB2,ERBB4,EVPL,EXT1,F11R,F2R,FAM110C,FAM83B,FAM83H,FAT4,FGD2,FGD3,FGFBP1,FGFR1,FJX1,FKBP1A,FOSL2,FOXD1,FOXQ1,FRK,FSTL1,FTLP14,FUT3,FXYD3,GAS2L2,GGT6,GJA1,GJB3,GJB4,GJB5,GLRA3,GNA11,GPC1,GPR176,GPR87,GPX8,GRAMD2A,GRB7,GRID2IP,IFNWP19,IGFL1,IKBIP,IL18,ILDR1,IMPAD1,INAVA,IQANK1,IRF6,IRX3,ITGB4,ITGB6,IZUMO1,JUN,JUP,KCNK1,KDELR2,KDF1,KIAA1522,KIF20A,KLF5,KLK9,KRT15,KRT18P34,KRT35,KRT4,LAD1,LAMA3,LAMA4,LAMB3,LAMC2,LARP6,LCN15,LCN2,LCTL,LGALS1,LIFR,LINC00315,LINC00472,LINC00565,LINC00674,LIPH,LRP1,LSR,LYPD1,MAL2,MARVELD3,METRNL,MGAT5B,MIR31HG,MISP,MN1,MPZL2,MSANTD3,MST1R,MTCH1,MYC,NBPF26,NCF1C,NCF4,NECTIN4,NFIC,NIPAL1,NPAS3,NRP1,NTF4,OCLN,OSMR,OSR1,P2RY2,PADI1,PARVA,PATJ,PEA15,PERP,PHLDB1,PI3,PIGK,PIGR,PKM,PKP3,PLEC,PLEK2,PLEKHG6,PLOD1,PLPP4,PMP22,PNMA1,POF1B,POFUT1,PPDPF,PPL,PRMT2,PROSER2,PRRG2,PRSS22,PRSS8,PSMC3,PTPN14,PTPN21,PXDC1,RAB23,RABAC1,RASSF8,RCAN1,RECQL,RHOD,RNF223,ROS1,RPS27L,RSPH3,RSPO3,RTL8C,RUSC2,S100A14,SCEL,SCNN1A,SCRN1,SDC3,SERPINB5,SFN,SH2D3A,SH3YL1,SIDT1,SKI,SLC10A6,SLC15A2,SLC16A2,SLC39A13,SLC44A5,SLC52A3,SLIT2,SLPI,SMARCA1,SNX21,SNX3,SOAT1,SOCS3,SOWAHB,SPDL1,SPINT1,SPINT2,SSH3,ST3GAL6,ST6GAL1,SYDE1,SYT8,SYTL1,TACSTD2,TBC1D9,TGFA,TIMP2,TINAGL1,TMC4,TMEM158,TMEM240,TMEM265,TMEM30A,TMEM30B,TNK1,TNRC18P1,TNS2,TPD52L1,TRAF3IP3,TRIM29,TRIM31,TSPAN1,TSPAN4,TTC22,TUBA1C,TUBB6,TXNDC9,UACA,UBTD1,UPK3B,VASN,VKORC1,VWA2,WDFY3,WWTR1,XDH,ZCCHC24,ZNF165,ZNF185,ZNF503,ZNF512B",325
AFURESERTIB,"AADAT,ABALON,ABCB1,ABCC9,ABI2,ABT1,ACP1,ADGRA3,AEN,AFAP1L2,AHNAK,AK1,AK5,AKR1C7P,AKR7A3,AKT1,AKT2,AKT3,ALDH3B1,ALDH6A1,AMOTL1,AMOTL2,ANGPTL2,ANK2,ANKRD1,ANKRD18B,ANKRD31,ANKRD9,ANO9,ANTXR1,ANXA6,ANXA8,APBB1,APOLD1,ARAP3,ARHGAP23,ARHGAP23P1,ARHGAP29,ARHGAP31,ARHGAP8,ARHGEF40,ARID3B,ARNT2,ARPIN,ART4,ATP6V1E2,AXL,B3GNT9,BACE1,BBOF1,BCL2L1,BCL3,BCL9L,BDNF,BEX3,BNC2,BTBD6,C1QTNF1,C1QTNF2,C3,CA12,CACNA2D1,CAMSAP2,CATSPER1,CAV1,CC2D2A,CCDC63,CEP295NL,CFAP300,CHML,CLCF1,CLDN1,CLDN12,CLDN7,CLMAT3,CNIH3,CNKSR1,CNKSR2,CNRIP1,COL6A2,CPT1C,CRAT,CREB3L1,CRIM1,CRMP1,CRTAP,CRYGC,CST6,CTTNBP2NL,CYFIP2,CYP24A1,CYP2A6,CYP2A7,CYP2U1,CYP7B1,DACT1,DAW1,DCBLD2,DDR2,DEF6,DENND1C,DENND2D,DEPDC7,DLL3,DNAH14,DNAJC6,DNER,DUSP19,DYNC1I2,DZIP1L,E2F6,ECM1,ENPP1,EPHA2,EPHB4,EPS8L2,EXOC6B,FAM200B,FAXC,FBXL2,FGD1,FGD3,FITM1,FKBP7,FLRT2,FMN2,FOXL1,FRMD5,G0S2,GAB2,GAD1,GART,GDNF,GLI2,GNAI1,GNAQ,GPLD1,GPR161,GPR68,GPRASP2,GPRC5A,GPSM2,GRAMD2B,GRHL3,GRIK2,GSTT2B,GXYLT2,HLX,HMGA1,HOTAIR,HOXC11,HOXD8,HOXD9,IFFO1,IGFBP4,ILDR1,IQSEC2,IRX3,ITGA11,ITGA3,ITGB3,KCNMA1,KCNQ5,KIAA1217,KIF3C,KIRREL3,KISS1,KRT18,KRT18P1,KRT18P10,KRT18P11,KRT18P13,KRT18P15,KRT18P16,KRT18P23,KRT18P28,KRT18P29,KRT18P33,KRT18P48,KRT18P65,KRT18P8,KRT7,KRT8,KRT80,KRT8P14,KRT8P18,KRT8P2,KRT8P3,KRT8P37,KRT8P43,KRT8P45,KRT8P49,KRT8P7,KRT8P9,LAMA5,LASP1,LCP1,LDAH,LINC00327,LINC00472,LINC00492,LINC00626,LINC01411,LINC01500,LINC01828,LINC02104,LONP1,LPAR1,LRIG1,LRRC17,LRRC49,LTBP2,LYPD1,LYPD6,MAOA,MAP3K3,MATN3,ME2,MID1,MKX,MMP2,MORN2,MOXD1,MPP4,MPZL3,MSANTD3,MXRA7,MYCT1,MYO1B,MYOF,NALCN,NARS2,NAV2,NCS1,NDP,NEDD4L,NEFM,NEGR1,NFIX,NHLH2,NLRP3P1,NPPC,NRG3,NTN4,NUDCD1,NXNL2,PAM,PARD6G,PCA3,PCDH7,PCDHGA1,PCDHGA10,PCDHGA11,PCDHGA12,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA8,PCDHGA9,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4,PCDHGB6,PCDHGB7,PCDHGC3,PCDHGC4,PCDHGC5,PCGF2,PCLO,PCSK1,PDGFB,PDGFRB,PEA15,PEAR1,PGAP1,PHLDB1,PICART1,PLA2R1,PLAU,PLK2,PLPP4,PLPPR5,PNO1,POLR3G,PPL,PPP2R2B,PRSS12,PRSS16,PRTG,PRUNE2,PTGES,PTGFR,PTK7,PTPN14,PTPN6,PTX4,PXN,QDPR,RAB9B,RANBP3L,RBFOX2,RBM11,RBMS2,RBMS2P1,RGS12,RGS20,RGS4,RHOJ,RIMS2,RIN1,RND3,RNF182,RP9P,RPL34,RPL39P5,RRP15,RTL8C,RXRA,SCN9A,SDC3,SEC1P,SEMA4F,SEMA5A,SFN,SH2D3A,SLC14A1,SLC23A1,SLC24A5,SLC25A29,SLC25A33,SLC6A15,SLC6A17,SLC7A8,SMIM13,SMIM14,SMURF2,SNAI2,SNCA,SNX7,SOCS2,SPARC,SRPX,STXBP1,SYT9,TBATA,TC2N,TCEAL3,TCEAL9,TEAD1,TESK1,TGFB1I1,TGFB3,TGM2,THY1,TIGAR,TINAGL1,TMCC2,TMEM158,TMEM237,TMEM30B,TMEM8B,TMPRSS13,TNFAIP2,TNFAIP6,TP53I11,TPH1,TPPP3,TREH,TRMT10A,TSPAN19,TTC8,TTL,TTLL4,TUBA1A,TUBB3,VAX2,VIM,VKORC1,WASF3,WDR47,WLS,XDH,YAP1,ZBTB47,ZDBF2,ZDHHC1,ZEB2,ZNF112,ZNF185,ZNF330,ZNF385D,ZNF462,ZNF75D",397
